   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),"ให้เกียรติมาก 
(Highly Respectful)",ให้เกียรติ (Respectful),"ปกติ 
(Normal)",ไม่ให้เกียรติ (Disrespectful),ไม่ให้เกียรติมาก (Highly Disrespectful),"บอกไม่ได้ 
(Cannot describe)",
คลั่ง,,,,,//,,เสร็จสิ้น
รัฐกันชน,,,//,,,,เสร็จสิ้น
พูดไม่ออก,,,//,,,,เสร็จสิ้น
โรงเรียน,,,//,,,,เสร็จสิ้น
เนี้ย,,,//,,,,เสร็จสิ้น
จารย์,,/,,,,,เสร็จสิ้น
ทั่ว,,,,,/,,เสร็จสิ้น
ว.,,,//,,,,เสร็จสิ้น
อู,,,//,,,,เสร็จสิ้น
แฟชั่น,,,//,,,,เสร็จสิ้น
ข้าวเกรียบ,,,//,,,,เสร็จสิ้น
แม่น,,,//,,,,เสร็จสิ้น
อ๋อ,,,//,,,,เสร็จสิ้น
รี,,,//,,,,เสร็จสิ้น
ทอม,,,,,,//,เสร็จสิ้น
ด้วย,,,//,,,,เสร็จสิ้น
ผช.,,,//,,,,เสร็จสิ้น
ทรวง,,,//,,,,เสร็จสิ้น
หลังจาก,,,//,,,,เสร็จสิ้น
ค่าใช้จ่าย,,,//,,,,เสร็จสิ้น
มีชื่อ,,,//,,,,เสร็จสิ้น
ยังไง,,,//,,,,เสร็จสิ้น
รักษา,,,,,,//,เสร็จสิ้น
ดื้อ,,,,//,,,เสร็จสิ้น
สะพาน,,,//,,,,เสร็จสิ้น
ว่ะ,,,//,,,,เสร็จสิ้น
บรรยากาศ,,,//,,,,เสร็จสิ้น
รัดเข็มขัด,//,,,,,,เสร็จสิ้น
เลย,,,//,,,,เสร็จสิ้น
นม,,,//,,,,เสร็จสิ้น
มีความผิด,,//,,,,,เสร็จสิ้น
กัว,,,//,,,,เสร็จสิ้น
ทน,,,//,,,,เสร็จสิ้น
หลัง,,,//,,,,เสร็จสิ้น
ถุง,,,//,,,,เสร็จสิ้น
ราคา,,,//,,,,เสร็จสิ้น
น่า,,,//,,,,เสร็จสิ้น
แว่น,,,,//,,,เสร็จสิ้น
น้อน,,,//,,,,เสร็จสิ้น
ตำแหน่ง,,//,,,,,เสร็จสิ้น
ดาวน์,,,//,,,,เสร็จสิ้น
แข็งแรง,,//,,,,,เสร็จสิ้น
ใหญ่,,,//,,,,เสร็จสิ้น
ใจ,,,//,,,,เสร็จสิ้น
ค่า,,,//,,,,เสร็จสิ้น
ครก,,,//,,,,เสร็จสิ้น
เพี้ยง,,,//,,,,เสร็จสิ้น
โบ้,,,//,,,,เสร็จสิ้น
ขออนุญาต,//,,,,,,เสร็จสิ้น
เบย,,,//,,,,เสร็จสิ้น
ติดตาม,,//,,,,,เสร็จสิ้น
รังเกียจ,,,,,//,,เสร็จสิ้น
สายพันธุ์,,,//,,,,เสร็จสิ้น
ครุ,,,//,,,,เสร็จสิ้น
