   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,
คำ (Word),"ให้เกียรติมาก 
(Highly Respectful)",ให้เกียรติ (Respectful),"ปกติ 
(Normal)",ไม่ให้เกียรติ (Disrespectful),ไม่ให้เกียรติมาก (Highly Disrespectful),"บอกไม่ได้ 
(Cannot describe)"
คลั่ง,,,,,//,
รัฐกันชน,,,//,,,
พูดไม่ออก,,,//,,,
โรงเรียน,,,//,,,
เนี้ย,,,//,,,
จารย์,,/,,,,
ทั่ว,,,,,/,
ว.,,,//,,,
อู,,,//,,,
แฟชั่น,,,//,,,
ข้าวเกรียบ,,,//,,,
แม่น,,,//,,,
อ๋อ,,,//,,,
รี,,,//,,,
ทอม,,,,,,//
ด้วย,,,//,,,
ผช.,,,//,,,
ทรวง,,,//,,,
หลังจาก,,,//,,,
ค่าใช้จ่าย,,,//,,,
มีชื่อ,,,//,,,
ยังไง,,,//,,,
รักษา,,,,,,//
ดื้อ,,,,//,,
สะพาน,,,//,,,
ว่ะ,,,//,,,
บรรยากาศ,,,//,,,
รัดเข็มขัด,//,,,,,
เลย,,,//,,,
นม,,,//,,,
มีความผิด,,//,,,,
กัว,,,//,,,
ทน,,,//,,,
หลัง,,,//,,,
ถุง,,,//,,,
ราคา,,,//,,,
น่า,,,//,,,
แว่น,,,,//,,
น้อน,,,//,,,
ตำแหน่ง,,//,,,,
ดาวน์,,,//,,,
แข็งแรง,,//,,,,
ใหญ่,,,//,,,
ใจ,,,//,,,
ค่า,,,//,,,
ครก,,,//,,,
เพี้ยง,,,//,,,
โบ้,,,//,,,
ขออนุญาต,//,,,,,
เบย,,,//,,,
ติดตาม,,//,,,,
รังเกียจ,,,,,//,
สายพันธุ์,,,//,,,
ครุ,,,//,,,
น้อ,,,//,,,
นะจ๊ะ,,//,,,,
มีต,,,//,,,
ประโยค,,,//,,,
ทุน,,,//,,,
น้อง,,//,,,,
ถ้ำมอง,,,,,//,
มะม่วง,,,//,,,
อดทน,,,//,,,
ขอนแก่น,,,//,,,
ได้,,,//,,,
หื้มมม,,,,//,,
คิว,,,//,,,
คุณ,//,,,,,
โรงพยาบาล,,,//,,,
เอ้อ,,,//,,,
คลิป,,,//,,,
มี๊,,//,,,,
ตั้ง,,,//,,,
สุดที่รัก,//,,,,,
หน่วย,,,//,,,
พริก,,,//,,,
เพา,,,//,,,
ผัก,,,//,,,
กัน,,,//,,,
อร๊ายยย,,,,//,,
ประธาน,//,,,,,
ไก่,,,//,,,
นะ,,,//,,,
ปั้ม,,,//,,,
โอ้,,,//,,,
แฟน,,//,,,,
งับ,,//,,,,
กำแพง,,,//,,,
จักรวาล,,,//,,,
ผู้ว่า,//,,,,,
ห้าง,,,//,,,
ทิวา,//,,,,,
ชอบ,,//,,,,
กทม.,,,//,,,
ล็อก,,,//,,,
ตรัง,,,//,,,
จ่า,,,//,,,
ธุรกิจ,,,//,,,
ปชช,,,//,,,
นึง,,,//,,,
หลาย,,,//,,,
เซ็ง,,,,,//,
ชีวะ,,,//,,,
คิดถึง,//,,,,,
สวยงาม,//,,,,,
มงคล,,,//,,,
สะกด,,,//,,,
แอ,,,//,,,
สะดวก,,//,,,,
สุภาพ,//,,,,,
ไม้,,,//,,,
มกรา,,,//,,,
หืมมม,,,//,,,
ฟังก์ชัน,,,//,,,
หน้าต่าง,,,//,,,
ประชด,,,,,//,
กล่อง,,,//,,,
แต่ง,,,//,,,
สำเร็จ,//,,,,,
มั้ง,,,,//,,
วิเชียร,,,//,,,
คุณหนู,//,,,,,
ครับ,//,,,,,
เสื้อ,,,//,,,
ปัง,//,,,,,
ถูกหวย,,,//,,,
พละ,,,//,,,
หลาน,,,//,,,
คริสตัล,,,//,,,
อิง,//,,,,,
ปี้,,,//,,,
ประหยัด,,,//,,,
แขกรับเชิญ,//,,,,,
แคน,,,//,,,
ค่าเรียน,,,//,,,
ของคาว,,,//,,,
จน,,,,,,//
จันทร์,,,//,,,
จะ,,,//,,,
ซุก,,,,,,//
ตะวัน,,,//,,,
ข่มขืน,,,,,//,
ต่อย,,,,,//,
ลดราคา,,,//,,,
กรวดน้ำ,,,,,,//
ขับ,,,//,,,
ชั่ว,,,,,//,
ซวย,,,,,,//
วันเกิด,,,//,,,
สวย,,//,,,,
เอ่ย,,,//,,,
ร้อง,,,//,,,
งู,,,//,,,
แบบ,,,//,,,
ซอง,,,//,,,
ความสุข,//,,,,,
ผ่า,,,//,,,
ลูกชาย,,//,,,,
ทายาท,//,,,,,
สรรเสริญ,//,,,,,
ดีกรี,,,//,,,
จริง,,,//,,,
เธอ,,//,,,,
ฮะ,,,//,,,
ฮ้า,,,,,,//
จ้ะ,,,//,,,
สั้น,,//,,,,
ลัก,,,,//,,
ว่ายน้ำ,,,//,,,
เหนื่อย,,,//,,,
สัญญา,,//,,,,
ตื่นเต้น,,,//,,,
แบ็งค์,,,//,,,
ยอดเยี่ยม,//,,,,,
กับ,,,//,,,
รมต.,,//,,,,
rep,//,,,,,
โอ้โห,,,//,,,
โอ,//,,,,,
พาส,,,//,,,
นักเขียน,,//,,,,
อุณหภูมิ,,,//,,,
คอนโด,,,//,,,
อนุโมทนา,//,,,,,
จ.,,,//,,,
ค้าง,,,//,,,
จำเลย,,//,,,,
เมื่อ,,,//,,,
รุ่น,,,//,,,
เมื่อคืน,,,//,,,
เหงื่อ,,,//,,,
คดี,,,//,,,
ฮึ,,,//,,,
เอ็น,,,//,,,
เซ่,,,,//,,
สน.,,,//,,,
อัพโหลด,,,//,,,
เนื้อ,,,//,,,
นี่,,,//,,,
ตลอดวัน,,,//,,,
สดใส,,,//,,,
ดิน,,,//,,,
ช้า,,,//,,,
อ้วง,,,//,,,
อาทิตย์,,,//,,,
หลอ,,,,//,,
ใช่,,,//,,,
ลัง,,,//,,,
ขอบคุณ,,//,,,,
กลางๆ,,,//,,,
ยาสีฟัน,,,//,,,
เกาะ,,,//,,,
ค้าบ,,//,,,,
ดั่ง,,,//,,,
มุ,//,,,,,
ห๊ะ,,,,//,,
ล่วงหน้า,,//,,,,
วี,//,,,,,
สวนครัว,,,//,,,
สก็อต,,,//,,,
ทัน,,,//,,,
แต่งงาน,//,,,,,
รัก,//,,,,,
ขา,,,//,,,
ห้องนอน,,,//,,,
คะ,,//,,,,
กระปุก,,,//,,,
จุฬา,,,//,,,
อ้วก,,,,,//,
มีประโยชน์,,//,,,,
แตก,,,//,,,
แหม,,,,//,,
เนต,,,,,,//
ภูมิใจ,//,,,,,
เอส,//,,,,,
ร้านเหล้า,,,//,,,
ยุง,,,//,,,
แม่น้ำ,,,//,,,
นานา,,,//,,,
สาว,,,//,,,
จังหวัด,,,//,,,
สึด,,,,//,,
ละเลย,,,,,//,
ทรมาน,,,,,//,
