   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),สนิทกันมาก (Intimate),สนิทกัน (Close),แค่คนรู้จักกัน (acquainted),ไม่รู้จักกัน (Unfamiliar),ไม่ชอบหน้ากัน  (Dislike),"บอกไม่ได้ 
(Cannot describe)",
นัด,//,,,,,,เสร็จสิ้น
ตู่,//,,,,,,เสร็จสิ้น
บอล,,,,,,//,เสร็จสิ้น
ศรีธัญญา,,,,,//,,เสร็จสิ้น
เนี้ย,//,,,,,,เสร็จสิ้น
จารย์,,//,,,,,เสร็จสิ้น
ไอ,,,,,,//,เสร็จสิ้น
หมี่,,,//,,,,เสร็จสิ้น
แฮร์รี่,,,,,,//,เสร็จสิ้น
อู,,,,,,//,เสร็จสิ้น
บ่,,,,,,//,เสร็จสิ้น
กระบอก,,,,,,//,เสร็จสิ้น
เศษอาหาร,,//,,,,,เสร็จสิ้น
อ๋อ,,,//,,,,เสร็จสิ้น
รี,,,,//,,,เสร็จสิ้น
น้ำเหลือง,,,,,,//,เสร็จสิ้น
มหา,,//,,,,,เสร็จสิ้น
มรึง,//,,,,,,เสร็จสิ้น
หลังจาก,,,,//,,,เสร็จสิ้น
ด้วย,,//,,,,,เสร็จสิ้น
ปรุงรส,,,//,,,,เสร็จสิ้น
ยังไง,//,,,,,,เสร็จสิ้น
สะพาน,,,,,,//,เสร็จสิ้น
เย่,,,,,,//,เสร็จสิ้น
ดาว,,,,,,//,เสร็จสิ้น
ว่ะ,,,,,//,,เสร็จสิ้น
ใช้,,,,,,//,เสร็จสิ้น
กำไร,,,,,,//,เสร็จสิ้น
เลย,,//,,,,,เสร็จสิ้น
สุก,,,,,,//,เสร็จสิ้น
แต่,,,//,,,,เสร็จสิ้น
แกงจืด,,,,,,//,เสร็จสิ้น
นม,,,,,,//,เสร็จสิ้น
จิต,,//,,,,,เสร็จสิ้น
ทน,,//,,,,,เสร็จสิ้น
กัว,//,,,,,,เสร็จสิ้น
