idx,person,Singular,Plural,Standard Form,tags
,1st,กระผม,พวกกระผม,,"polite, male"
,1st,โผ้ม,,ผม,"polite, male"
,1st,กระหม่อม,,,
,1st,กู,พวกกู,,
,1st,กุ,พวกกุ,กู,
,1st,กรู,พวกกรู,กู,
,1st,เกล้ากระผม,,,
,1st,เกล้ากระหม่อม,,,
,2nd/3rd,แก,พวกแก,,
,2nd,แกร,พวกแกร,แก,
,1st,ข้า,พวกข้า,,
,1st,ข้าพเจ้า,,,polite
,1st,ข้าพระพุทธเจ้า,,,
,2nd,เขา,พวกเขา,,
,1st/3rd,เค้า,พวกเค้า,พวกเขา,
,2nd/3rd,คุณ,,,
,2nd,คุณเธอ,,,
,1st,ฉัน,พวกฉัน,,
,1st,ชั้น,พวกชั้น,ฉัน,
,1st,ดิฉัน,,,"polite, female"
,2nd,ตัว,,,
,2nd,ตัวเอง,พวกตัวเอง,,
,2nd,เตง,พวกเตง,ตัวเอง,
,2nd,ใต้เท้า,,,
,2nd,ใต้ฝ่าละอองธุลีพระบาท ,,,
,2nd/3rd,ท่าน,พวกท่าน,,
,2nd,เธอ,พวกเธอ,,
,2nd,เทอ,พวกเทอ,เธอ,
,2nd,นาย,พวกนาย,,
,1st,นี่,,,
,1st,บ่าว,,,
,1st,ผม,พวกผม,,"polite, male"
,1st,โผ้ม,พวกโผ้ม,ผม,"polite, male"
,2nd,ฝ่าพระบาท,,,
,2nd,พระคุณเจ้า,,,
,3rd,พระองค์,,,
,3rd,มัน,พวกมัน,,
,2nd,มึง,พวกมึง,,
,2nd,เมิง,พวกเมิง,มึง,
,1st/2nd,เรา,พวกเรา,,
,2nd,ลื้อ,พวกลื้อ,,
,1st,หนู,พวกหนู,,
,1st,นู๋,พวกนู๋,หนู,
,1st,หม่อมฉัน,,,
,1st,"อั้ว,อั๊วะ",,,
,1st,อาตมา,พวกอาตมา,,
,1st,อ้าย,,,
,2nd,เอ็ง,พวกเอ็ง,,
,3rd,คนอื่น,,,
,3rd,คนอื่นๆ,,,
,3rd,ใคร,,,
,3rd,ใครๆ,,,
,3rd,คัยๆ,,ใครๆ,
,2nd/3rd,เจ้า,พวกเจ้า,,
,1st,เดี๊ยน,พวกเดี๊ยน,,
,2nd,บพิตร,,,
,2nd,โยม,พวกโยม,,
,2nd,หล่อน,พวกหล่อน,,
,3rd,นาง,พวกนาง,,
