common_misp,correct
กงศุล,กงสุล
กงกำกงเกวียน,กงเกวียนกำเกวียน
กฏ,กฎ
"กบฎ, กบถ",กบฏ
"กะบาล, -บาน","กบาล, กระบาล"
กรกฏาคม,กรกฎาคม
กรรมกรณ์,กรรมกร
กรรมกร,กรรมกรณ์
"กระตือรือล้น, กะตือรือล้น, กะตือลือล้น",กระตือรือร้น
"กะเพาะ, กะเพราะ, กระเพราะ",กระเพาะ
กิริยา,กริยา
"กรีธา, กรีทา",กรีฑา
กรีฑาทัพ,กรีธาทัพ
"กลยุทธ, กลยุทธิ, กลยุทธิ์",กลยุทธ์
กลางครัน,กลางคัน
กลิ่นไอ,กลิ่นอาย
กลิ้งฑูตล้มขรณ์,กลิ้งทูตล้มขร
กลิ้งฑูตล้มขอน,กลิ้งทูตล้มขร
กล้องโทรทัศน์,กล้องโทรทรรศน์
ก๋วยจั๊บ,กวยจั๊บ
กสิน,กสิณ
"กอป, กอปร์",กอปร
"กลอฟ, กอลฟ์, ก็อลฟ์, ก็อล์ฟ, ก๊อลฟ์, ก๊อล์ฟ",กอล์ฟ
กระทันหัน,กะทันหัน
กระทิ,กะทิ
กระบังลม,กะบังลม
กระปิ,กะปิ
กระพง,กะพง
กระพริบ,กะพริบ
กระพรุน,กะพรุน
กาละมัง,กะละมัง
"กาละแม, กาลาแม, กาละแมร์",กะละแม
กลาสี,กะลาสี
กระล่อน,กะล่อน
กระหรี่,กะหรี่
กระหล่ำ,กะหล่ำ
กระเทย,กะเทย
กระเทาะ,กะเทาะ
"กะเพา, กระเพา, กระเพรา",กะเพรา
กระเหรี่ยง,กะเหรี่ยง
กระโหลก,กะโหลก
กังวาล,กังวาน
กาละเทศะ,กาลเทศะ
กาฬเวลา,กาลเวลา
กำเหน็ด,กำเหน็จ
"กิติมศักดิ์, เกียรติมศักดิ์",กิตติมศักดิ์
กินนะรี,กินรี
กินนรี,กินรี
กริยา,กิริยา
"กุฎ, กุฎิ","กุฎี, กุฏิ"
กเลวราก,กเฬวราก
ก้อ,ก็
ก๊วยเตี๋ยว,ก๋วยเตี๋ยว
เกมส์,เกม
เกร็ดเลือด,เกล็ดเลือด
"เกษียน, เกษียร",เกษียณ
เกษร,เกสร
เก๊าท์,เกาต์
เกียรติ์,เกียรติ
แกงขั่ว,แกงคั่ว
