กรอก Room ID,กรอก Code,อัปโหลดรูปที่แคปมา,หัวข้อสนทนา (Topic),คุณเรียกความสัมพันธ์นี้อย่างไร ? (How do you call your relationship ?),"ให้คะแนนระดับความสนิทสนม ความไว้เนื้อเชื่อใจ (Closeness, Trust and Commitment)","ให้คะแนนระดับการให้เกียรติ การให้ความเคารพ (Authority,  and Respect)",กรอกลิงค์บทสนากรุณากรอก url ในรูปแบบดังนี้ http://181.215.78.221:5000/chat_room/{ตัวเลขห้อง},ยินยอมเงื่อนไขที่กล่าวมาข้างต้นหรือไม่ ?
52,"bac6dd9cc5
",https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/d8fa3bcc3eaf04b7710616a855b8d1ed_---_Screenshot_2023-01-04-20-46-21-85.jpg,ชีวิตครอบครัว,เพื่อน (Friend),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/52,ยินยอม
55,6a26efd252,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/83e0c7dcc20bda6e1d06561ea74157f0_---_Screenshot_2023-01-04-21-09-28-07.jpg,ซื้อรถ,คู่รัก (Love Partner),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/55,ยินยอม
56,ac4df81cba,https://www.api.wang.in.th:3001/static/pictures/answer/63b572c15dd3c96284f08999/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/152455daa4ba2cb94360991d8b9cb763_---_Screenshot%202023-01-04%20211233.png,สัตว์เลี้ยง,เพื่อน (Friend),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/56,ยินยอม
58,666df9edcb,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/fca06d825a42660e87ab4d94e5c7181a_---_Screenshot_2023-01-04-21-22-23-12.jpg,สัตว์เลี้ยง,คู่รัก (Love Partner),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/58,ยินยอม
54,70b6d0854b,https://www.api.wang.in.th:3001/static/pictures/answer/625d827baf135a319223d082/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/7cb71c6f7faf8ff06adaa4e8ccf16647_---_323745469_1833067273695064_5903368602803543536_n.jpg,ภาพยนตร์,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/54,ยินยอม
61,2a979cfb2f,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/ccfe4deeab81ba4d0b2d95abab38ca15_---_Screenshot_2023-01-04-21-35-28-29.jpg,กิจกรรมรวมญาติ,คนในครอบครัว (Family),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/61,ยินยอม
68,d95a8820b2,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/174d297e82ed7126416c9b3e7857ef7b_---_Screenshot_2023-01-04-21-48-23-99.jpg,ภาพยนตร์,คู่รัก (Love Partner),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/68,ยินยอม
62,5f23fc395f,https://www.api.wang.in.th:3001/static/pictures/answer/625d827baf135a319223d082/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/97c1efb358fc6c0ce95261c1fecc3fa2_---_Screenshot%202023-01-04%20215019.png,สื่อข่าว,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/62,ยินยอม
74,2d4de8f470,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/d9101203de622a4bf13e536b11ec09e1_---_Screenshot_2023-01-04-21-58-47-84.jpg,การใช้บัตรเครดิต,คู่รัก (Love Partner),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/74,ยินยอม
75,4456a70bec,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/4c2e72dd44f1c5831a3da47edc453c19_---_Screenshot_2023-01-04-22-11-52-22.jpg,การเลือกวิทยาลัย,คนในครอบครัว (Family),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/75,ยินยอม
76,f10ee78c1e,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/ace2b39df2bb68b4bda05ebe9ba546eb_---_Screenshot_2023-01-04-22-21-12-98.jpg,การตั้งแคมป์,เพื่อน (Friend),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/76,ยินยอม
84,cf971a7140,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/3591415b9d54d2d41cf90a76428047a2_---_Screenshot_20230104-231307_Messenger.jpg,การรีไซเคิล,คนไม่รู้จัก (Stranger),แค่คนรู้จักกัน,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/84,ยินยอม
89,6c3e02039e,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/c57948d8caa4c22518be18cb2629f5db_---_Screenshot_2023-01-04-23-28-26-93.jpg,ภาษี,คู่รัก (Love Partner),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/89,ยินยอม
96,ee7a46f322,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/c8fba680248d90e90a90c134d94538ec_---_Screenshot_2023-01-04-23-41-18-02.jpg,ออกกำลังกายและฟิตเนส,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/96,ยินยอม
102,b493152e02,https://www.api.wang.in.th:3001/static/pictures/answer/61dba5ec0f40781f86b1114a/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/9dcf014dd434a643a8c5da663922c1fa_---_CB0DF883-118B-447C-BAF1-A9F24F18143C.jpeg,ภาพยนตร์,เพื่อน (Friend),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/102,ยินยอม
106,226743465a,https://www.api.wang.in.th:3001/static/pictures/answer/61dba5ec0f40781f86b1114a/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/30d7a90d9612fd08555c173d4fbaadb0_---_B5D3CF42-A618-4202-8C1A-A3D5742C3546.jpeg,การทำอาหาร,เพื่อน (Friend),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/106,ยินยอม
108,bcb0faf0b8,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/3c17b48645f614899c5d659ec812fb5d_---_Screenshot_20230105-044839_Chrome.jpg,การทำอาหาร,คนในครอบครัว (Family),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/108,ยินยอม
109,e521813cb3,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/abd88b9172b29f3b9711b5a09c113303_---_Screenshot_20230105-050123_Chrome.jpg,สภาพอากาศ,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/109,ยินยอม
110,b2d70a409d,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/a7dbacad12ac0f1eb798d867c5fb2448_---_received_734042891466894.jpeg,คอมพิวเตอร์,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/110,ยินยอม
112,4299ded316,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/1958557fe3f7f17ed19cc660d77a83ff_---_Screenshot_20230105-053135_Chrome.jpg,หนังสือและวรรณคดี,เพื่อนร่วมงาน (Work colleague),แค่คนรู้จักกัน,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/112,ยินยอม
115,364ed836ed,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/10e80dbfe94696db3de05cc6bc412a15_---_Screenshot_20230105-055027_Chrome.jpg,สื่อข่าว,คู่รัก (Love Partner),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/115,ยินยอม
117,61c132748,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/f0c20bc3cb6421ec311491700f6ea82f_---_Screenshot_20230105-061939_Chrome.jpg,ดนตรี,เพื่อน (Friend),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/117,ยินยอม
118,26c8e2f005,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/2a621870fe2e6e68e94189205bfe3567_---_Screenshot_20230105-064321_Chrome.jpg,สิทธิในความเป็นส่วนตัว,เพื่อนร่วมงาน (Work colleague),แค่คนรู้จักกัน,ให้เกียรติมาก,http://181.215.78.221:5000/chat_room/118,ยินยอม
119,1cc6c5fa76,https://www.api.wang.in.th:3001/static/pictures/answer/61d5670dc9d0b86baf8f6f16/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/d02ec7aa6b06433a3912a5cdcd74fa9d_---_Screenshot_20230105-070344_Chrome.jpg,บทบาทสตรี,เพื่อนร่วมงาน (Work colleague),ไม่รู้จักกัน,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/119,ยินยอม
124,9a96057180,https://www.api.wang.in.th:3001/static/pictures/answer/619a3e013026054a04a31b46/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/9f575890a63f677dc6ce31059b4e4098_---_1672885418923.jpg,สัตว์เลี้ยง,คนในครอบครัว (Family),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/124,ยินยอม
129,65fa4bde73,https://www.api.wang.in.th:3001/static/pictures/answer/619a02c9e7f0632e3e29dd83/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/b4a7d7208b391c53462c8491ad862f6c_---_F9DECB5E-B002-4A3F-8F8E-A7AB99B04FE3.jpeg,ชีวิตครอบครัว,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/129,ยินยอม
136,8ac18f2ff8,https://www.api.wang.in.th:3001/static/pictures/answer/619a02c9e7f0632e3e29dd83/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/eac774af54401716a6ccd11bdc845a0a_---_1E2C9AC3-1EE6-433A-BFE2-1A65BE01A4A3.jpeg,เสื้อผ้าและเครื่องแต่งกาย,เพื่อน (Friend),สนิทกันมาก,ปกติ (สัมพันธ์แบบเท่าเทียมกัน),http://181.215.78.221:5000/chat_room/136,ยินยอม
145,8bce2c1610,https://www.api.wang.in.th:3001/static/pictures/answer/62a3dc92a389917c03b905bf/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/f30cf61d7b3305b456c458f0f76b8145_---_messageImage_1672892030049.jpg,ชีวิตครอบครัว,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/145,ยินยอม
147,d2232cb4fe,https://www.api.wang.in.th:3001/static/pictures/answer/62a3dc92a389917c03b905bf/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/9c2e31a4e14945d9cb4fc808f113119d_---_messageImage_1672892558160.jpg,สัตว์เลี้ยง,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/147,ยินยอม
148,1fdd03a675,https://www.api.wang.in.th:3001/static/pictures/answer/62a3dc92a389917c03b905bf/63b3da8f33bc4098d07d49a1/63b3e97dddcefde3971a2137/013e058aa0d1711141fb9ead513f78dd_---_messageImage_1672893180712.jpg,ซื้อรถ,คนในครอบครัว (Family),สนิทกันมาก,ให้เกียรติ,http://181.215.78.221:5000/chat_room/148,ยินยอม
